Breed;Color;"Age in 
Weeks";Min BW Female;Avg BW Female;Max BW Female;Min BW Male;Avg BW Male;Max BW Male;Min/Avg Female;Max/Avg Female;Min/Avg Male;Max/Avg Male;;;;;;;;;;;;;;;;
LB Classic;Brown;1;62;65;68;62;65;68;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;2;124;130;137;138;145;152;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;3;183;193;203;233;245;257;;;;;;;;;Sum of Avg BW Female;Breed;;;;;;;;;;
LB Classic;Brown;4;254;268;281;328;345;362;;;;;;;;;"Age in 
Weeks";LB Tradition;LB Extra;LB Classic;LB Lite;LSL Extra;LSL Classic;LSL Lite;LSL Ultra Lite;Lohmann Sandy;Lohmann Pink;Lohmann Silver
LB Classic;Brown;5;331;349;366;423;445;467;;;;;;;;;1;66;65;65;64;66;65;64;64;64;65;66
LB Classic;Brown;6;418;440;462;527;555;583;;;;;;;;;20;1.620;1.612;1.601;1.592;1.342;1.320;1.302;1.290;1.302;1.615;1.637
LB Classic;Brown;7;505;532;558;641;675;709;;;;;;;;;75;2.005;1.995;1.982;1.970;1.740;1.727;1.700;1.680;1.700;2.000;2.030
LB Classic;Brown;8;599;630;662;755;795;835;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;9;695;731;768;869;915;961;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;10;784;826;867;983;1.035;1.087;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;11;868;914;959;1.097;1.155;1.213;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;12;956;1.006;1.056;1.211;1.275;1.339;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;13;1.036;1.090;1.145;1.325;1.395;1.465;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;14;1.112;1.171;1.229;1.439;1.515;1.591;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;15;1.188;1.250;1.313;1.553;1.635;1.717;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;16;1.258;1.324;1.390;1.667;1.755;1.843;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;17;1.323;1.393;1.462;1.777;1.870;1.964;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;18;1.392;1.465;1.538;1.886;1.985;2.084;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;19;1.457;1.534;1.610;1.995;2.100;2.205;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;20;1.521;1.601;1.681;2.100;2.210;2.321;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;21;1.574;1.657;1.740;2.176;2.290;2.405;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;22;1.624;1.710;1.795;2.242;2.360;2.478;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;23;1.669;1.757;1.845;2.299;2.420;2.541;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;24;1.704;1.794;1.884;2.351;2.475;2.599;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;25;1.730;1.822;1.913;2.399;2.525;2.651;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;26;1.748;1.840;1.932;2.442;2.570;2.699;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;27;1.760;1.853;1.946;2.480;2.610;2.741;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;28;1.768;1.861;1.954;2.513;2.645;2.777;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;29;1.773;1.867;1.960;2.541;2.675;2.809;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;30;1.780;1.874;1.967;2.560;2.695;2.830;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;31;1.783;1.877;1.970;2.574;2.710;2.845;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;32;1.786;1.879;1.973;2.588;2.724;2.860;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;33;1.788;1.882;1.977;2.602;2.739;2.875;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;34;1.791;1.885;1.980;2.615;2.753;2.891;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;35;1.794;1.888;1.983;2.629;2.768;2.906;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;36;1.797;1.891;1.986;2.643;2.782;2.921;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;37;1.800;1.894;1.989;2.657;2.797;2.936;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;38;1.802;1.897;1.992;2.670;2.811;2.952;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;39;1.805;1.900;1.995;2.684;2.826;2.967;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;40;1.807;1.902;1.997;2.698;2.840;2.982;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;41;1.810;1.905;2.000;2.705;2.848;2.990;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;42;1.811;1.907;2.002;2.712;2.855;2.998;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;43;1.814;1.910;2.005;2.719;2.863;3.006;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;44;1.816;1.912;2.007;2.727;2.870;3.014;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;45;1.819;1.915;2.010;2.734;2.878;3.021;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;46;1.822;1.918;2.013;2.741;2.885;3.029;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;47;1.824;1.920;2.015;2.748;2.893;3.037;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;48;1.825;1.921;2.018;2.755;2.900;3.045;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;49;1.828;1.924;2.021;2.762;2.908;3.053;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;50;1.830;1.926;2.023;2.769;2.915;3.061;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;51;1.834;1.930;2.027;2.776;2.923;3.069;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;52;1.835;1.931;2.028;2.784;2.930;3.077;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;53;1.838;1.935;2.032;2.791;2.938;3.084;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;54;1.840;1.937;2.034;2.798;2.945;3.092;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;55;1.842;1.939;2.036;2.805;2.953;3.100;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;56;1.844;1.941;2.038;2.812;2.960;3.108;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;57;1.847;1.944;2.041;2.819;2.968;3.116;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;58;1.849;1.946;2.043;2.826;2.975;3.124;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;59;1.851;1.949;2.046;2.833;2.983;3.132;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;60;1.853;1.951;2.048;2.841;2.990;3.140;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;61;1.856;1.954;2.052;2.846;2.996;3.146;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;62;1.859;1.957;2.055;2.850;3.000;3.150;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;63;1.861;1.959;2.057;2.850;3.000;3.150;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;64;1.863;1.961;2.059;2.850;3.000;3.150;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;65;1.865;1.964;2.062;2.850;3.000;3.150;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;66;1.867;1.966;2.064;2.850;3.000;3.150;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;67;1.870;1.969;2.067;2.850;3.000;3.150;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;68;1.872;1.970;2.069;2.850;3.000;3.150;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;69;1.875;1.973;2.072;2.850;3.000;3.150;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;70;1.878;1.976;2.075;2.850;3.000;3.150;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;71;1.879;1.978;2.077;2.850;3.000;3.150;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;72;1.881;1.979;2.078;2.850;3.000;3.150;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;73;1.881;1.980;2.079;2.850;3.000;3.150;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;74;1.882;1.981;2.080;2.850;3.000;3.150;;;;;;;;;;;;;;;;;;;;
LB Classic;Brown;75;1.883;1.982;2.081;2.850;3.000;3.150;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;1;62;65;69;62;66;69;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;2;124;131;137;139;147;154;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;3;184;194;204;235;248;260;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;4;255;269;282;331;349;366;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;5;333;350;368;427;450;472;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;6;420;442;464;533;561;589;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;7;507;534;561;648;682;716;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;8;602;634;665;763;803;844;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;9;698;735;772;878;925;971;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;10;788;830;871;994;1.046;1.098;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;11;872;918;964;1.109;1.167;1.226;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;12;961;1.011;1.062;1.224;1.289;1.353;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;13;1.041;1.096;1.151;1.339;1.410;1.480;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;14;1.118;1.177;1.236;1.455;1.531;1.608;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;15;1.194;1.257;1.320;1.570;1.652;1.735;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;16;1.264;1.331;1.397;1.685;1.774;1.862;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;17;1.330;1.400;1.470;1.795;1.890;1.984;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;18;1.399;1.472;1.546;1.906;2.006;2.106;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;19;1.464;1.541;1.618;2.016;2.122;2.228;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;20;1.531;1.612;1.692;2.120;2.232;2.343;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;21;1.584;1.668;1.751;2.197;2.313;2.428;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;22;1.635;1.721;1.807;2.264;2.383;2.503;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;23;1.680;1.768;1.857;2.322;2.444;2.566;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;24;1.715;1.806;1.896;2.375;2.500;2.624;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;25;1.742;1.833;1.925;2.422;2.550;2.677;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;26;1.759;1.852;1.945;2.466;2.595;2.725;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;27;1.772;1.865;1.958;2.504;2.636;2.768;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;28;1.779;1.873;1.966;2.538;2.671;2.805;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;29;1.785;1.879;1.973;2.566;2.701;2.837;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;30;1.791;1.886;1.980;2.586;2.722;2.858;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;31;1.794;1.889;1.983;2.600;2.736;2.873;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;32;1.797;1.892;1.986;2.613;2.751;2.889;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;33;1.800;1.895;1.989;2.627;2.766;2.904;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;34;1.803;1.898;1.992;2.641;2.780;2.919;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;35;1.806;1.901;1.996;2.655;2.795;2.935;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;36;1.808;1.904;1.999;2.669;2.810;2.950;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;37;1.811;1.907;2.002;2.683;2.824;2.965;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;38;1.814;1.910;2.005;2.697;2.839;2.981;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;39;1.817;1.912;2.008;2.711;2.853;2.996;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;40;1.819;1.914;2.010;2.725;2.868;3.012;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;41;1.821;1.917;2.013;2.732;2.876;3.019;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;42;1.823;1.919;2.015;2.739;2.883;3.027;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;43;1.826;1.922;2.018;2.746;2.891;3.035;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;44;1.828;1.924;2.020;2.753;2.898;3.043;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;45;1.831;1.927;2.023;2.761;2.906;3.051;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;46;1.834;1.930;2.027;2.768;2.914;3.059;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;47;1.835;1.932;2.029;2.775;2.921;3.067;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;48;1.837;1.934;2.031;2.782;2.929;3.075;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;49;1.840;1.937;2.034;2.789;2.936;3.083;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;50;1.842;1.939;2.036;2.797;2.944;3.091;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;51;1.846;1.943;2.040;2.804;2.951;3.099;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;52;1.847;1.944;2.041;2.811;2.959;3.107;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;53;1.850;1.948;2.045;2.818;2.967;3.115;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;54;1.852;1.950;2.047;2.825;2.974;3.123;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;55;1.854;1.952;2.049;2.833;2.982;3.131;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;56;1.856;1.954;2.051;2.840;2.989;3.139;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;57;1.859;1.957;2.054;2.847;2.997;3.147;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;58;1.861;1.959;2.057;2.854;3.004;3.155;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;59;1.864;1.962;2.060;2.861;3.012;3.163;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;60;1.865;1.964;2.062;2.869;3.020;3.171;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;61;1.868;1.967;2.065;2.874;3.026;3.177;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;62;1.871;1.969;2.068;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;63;1.873;1.971;2.070;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;64;1.875;1.973;2.072;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;65;1.878;1.976;2.075;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;66;1.879;1.978;2.077;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;67;1.882;1.981;2.080;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;68;1.884;1.983;2.082;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;69;1.887;1.986;2.086;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;70;1.890;1.989;2.089;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;71;1.892;1.991;2.091;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;72;1.893;1.992;2.092;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;73;1.894;1.993;2.093;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;74;1.895;1.994;2.094;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Extra;Brown;75;1.895;1.995;2.095;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;1;61;64;68;61;64;68;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;2;122;129;135;136;143;151;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;3;182;191;201;230;242;254;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;4;252;265;278;324;341;358;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;5;328;345;363;418;440;462;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;6;414;436;457;522;549;577;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;7;500;527;553;634;668;701;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;8;593;625;656;747;786;826;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;9;688;725;761;860;905;950;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;10;777;818;859;973;1.024;1.075;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;11;860;905;951;1.086;1.143;1.200;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;12;947;997;1.047;1.198;1.261;1.324;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;13;1.026;1.080;1.134;1.311;1.380;1.449;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;14;1.102;1.160;1.218;1.424;1.499;1.574;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;15;1.177;1.239;1.301;1.537;1.618;1.698;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;16;1.246;1.312;1.377;1.649;1.736;1.823;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;17;1.311;1.380;1.449;1.757;1.850;1.942;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;18;1.379;1.452;1.524;1.866;1.964;2.062;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;19;1.443;1.519;1.595;1.974;2.078;2.181;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;20;1.512;1.592;1.671;2.085;2.195;2.305;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;21;1.565;1.647;1.729;2.161;2.275;2.388;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;22;1.614;1.699;1.784;2.227;2.344;2.461;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;23;1.659;1.746;1.833;2.284;2.404;2.524;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;24;1.694;1.783;1.872;2.335;2.458;2.581;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;25;1.720;1.810;1.901;2.383;2.508;2.633;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;26;1.737;1.829;1.920;2.425;2.553;2.680;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;27;1.749;1.842;1.934;2.463;2.593;2.722;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;28;1.757;1.849;1.942;2.496;2.627;2.759;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;29;1.762;1.855;1.948;2.524;2.657;2.790;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;30;1.769;1.862;1.955;2.543;2.677;2.811;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;31;1.772;1.865;1.958;2.557;2.691;2.826;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;32;1.775;1.868;1.961;2.570;2.706;2.841;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;33;1.777;1.871;1.964;2.584;2.720;2.856;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;34;1.780;1.874;1.968;2.598;2.735;2.871;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;35;1.783;1.877;1.971;2.612;2.749;2.886;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;36;1.786;1.880;1.974;2.625;2.763;2.902;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;37;1.789;1.883;1.977;2.639;2.778;2.917;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;38;1.791;1.886;1.980;2.653;2.792;2.932;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;39;1.794;1.889;1.983;2.666;2.807;2.947;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;40;1.796;1.890;1.985;2.680;2.821;2.962;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;41;1.799;1.893;1.988;2.687;2.828;2.970;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;42;1.800;1.895;1.990;2.694;2.836;2.978;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;43;1.803;1.898;1.993;2.701;2.843;2.985;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;44;1.805;1.900;1.995;2.708;2.851;2.993;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;45;1.808;1.903;1.998;2.715;2.858;3.001;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;46;1.811;1.906;2.001;2.722;2.866;3.009;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;47;1.812;1.908;2.003;2.729;2.873;3.017;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;48;1.814;1.910;2.005;2.737;2.881;3.025;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;49;1.817;1.913;2.008;2.744;2.888;3.032;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;50;1.819;1.915;2.010;2.751;2.895;3.040;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;51;1.823;1.919;2.014;2.758;2.903;3.048;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;52;1.824;1.919;2.015;2.765;2.910;3.056;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;53;1.827;1.923;2.020;2.772;2.918;3.064;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;54;1.829;1.925;2.022;2.779;2.925;3.072;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;55;1.831;1.927;2.024;2.786;2.933;3.079;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;56;1.833;1.929;2.026;2.793;2.940;3.087;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;57;1.836;1.932;2.029;2.800;2.948;3.095;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;58;1.837;1.934;2.031;2.807;2.955;3.103;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;59;1.840;1.937;2.034;2.814;2.963;3.111;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;60;1.842;1.939;2.036;2.821;2.970;3.118;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;61;1.845;1.942;2.039;2.827;2.976;3.125;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;62;1.848;1.945;2.042;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;63;1.849;1.947;2.044;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;64;1.851;1.949;2.046;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
