Breed;Color;"Age in 
LB Lite;Brown;65;1.854;1.952;2.049;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;66;1.856;1.954;2.051;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;67;1.859;1.957;2.054;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;68;1.861;1.958;2.056;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;69;1.863;1.961;2.059;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;70;1.866;1.964;2.063;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;71;1.868;1.966;2.065;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;72;1.869;1.967;2.066;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;73;1.870;1.968;2.067;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;74;1.871;1.969;2.068;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Lite;Brown;75;1.872;1.970;2.069;2.831;2.980;3.129;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;1;63;66;69;63;66;69;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;2;125;132;138;140;147;155;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;3;186;195;205;236;249;261;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;4;257;271;284;333;350;368;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;5;335;353;371;429;452;475;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;6;423;445;467;536;564;592;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;7;511;538;565;651;686;720;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;8;606;638;670;767;808;848;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;9;703;740;777;883;929;976;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;10;794;836;877;999;1.051;1.104;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;11;879;925;971;1.115;1.173;1.232;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;12;967;1.018;1.069;1.230;1.295;1.360;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;13;1.049;1.104;1.159;1.346;1.417;1.488;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;14;1.126;1.185;1.244;1.462;1.539;1.616;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;15;1.202;1.266;1.329;1.578;1.661;1.744;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;16;1.273;1.340;1.407;1.694;1.783;1.872;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;17;1.339;1.410;1.480;1.805;1.900;1.995;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;18;1.409;1.483;1.557;1.916;2.016;2.117;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;19;1.475;1.552;1.630;2.027;2.133;2.240;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;20;1.539;1.620;1.701;2.120;2.232;2.343;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;21;1.592;1.676;1.760;2.197;2.313;2.428;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;22;1.643;1.729;1.816;2.264;2.383;2.503;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;23;1.688;1.777;1.866;2.322;2.444;2.566;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;24;1.724;1.815;1.905;2.375;2.500;2.624;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;25;1.750;1.842;1.935;2.422;2.550;2.677;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;26;1.768;1.861;1.954;2.466;2.595;2.725;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;27;1.780;1.874;1.968;2.504;2.636;2.768;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;28;1.788;1.882;1.976;2.538;2.671;2.805;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;29;1.794;1.888;1.983;2.566;2.701;2.837;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;30;1.800;1.895;1.990;2.586;2.722;2.858;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;31;1.803;1.898;1.993;2.600;2.736;2.873;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;32;1.806;1.901;1.996;2.613;2.751;2.889;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;33;1.809;1.904;1.999;2.627;2.766;2.904;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;34;1.812;1.907;2.002;2.641;2.780;2.919;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;35;1.815;1.910;2.006;2.655;2.795;2.935;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;36;1.817;1.913;2.009;2.669;2.810;2.950;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;37;1.820;1.916;2.012;2.683;2.824;2.965;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;38;1.823;1.919;2.015;2.697;2.839;2.981;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;39;1.826;1.922;2.018;2.711;2.853;2.996;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;40;1.828;1.924;2.020;2.725;2.868;3.012;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;41;1.830;1.927;2.023;2.732;2.876;3.019;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;42;1.832;1.929;2.025;2.739;2.883;3.027;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;43;1.835;1.932;2.028;2.746;2.891;3.035;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;44;1.837;1.934;2.030;2.753;2.898;3.043;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;45;1.840;1.937;2.033;2.761;2.906;3.051;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;46;1.843;1.940;2.037;2.768;2.914;3.059;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;47;1.845;1.942;2.039;2.775;2.921;3.067;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;48;1.846;1.944;2.041;2.782;2.929;3.075;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;49;1.849;1.947;2.044;2.789;2.936;3.083;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;50;1.851;1.949;2.046;2.797;2.944;3.091;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;51;1.855;1.952;2.050;2.804;2.951;3.099;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;52;1.856;1.953;2.051;2.811;2.959;3.107;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;53;1.860;1.957;2.055;2.818;2.967;3.115;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;54;1.861;1.959;2.057;2.825;2.974;3.123;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;55;1.863;1.961;2.059;2.833;2.982;3.131;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;56;1.865;1.963;2.062;2.840;2.989;3.139;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;57;1.868;1.966;2.065;2.847;2.997;3.147;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;58;1.870;1.968;2.067;2.854;3.004;3.155;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;59;1.873;1.971;2.070;2.861;3.012;3.163;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;60;1.875;1.973;2.072;2.869;3.020;3.171;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;61;1.877;1.976;2.075;2.874;3.026;3.177;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;62;1.880;1.979;2.078;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;63;1.882;1.981;2.080;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;64;1.884;1.983;2.082;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;65;1.887;1.986;2.086;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;66;1.889;1.988;2.088;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;67;1.892;1.991;2.091;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;68;1.893;1.993;2.093;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;69;1.896;1.996;2.096;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;70;1.899;1.999;2.099;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;71;1.901;2.001;2.101;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;72;1.902;2.002;2.102;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;73;1.903;2.003;2.103;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;74;1.904;2.004;2.104;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LB Tradition;Brown;75;1.905;2.005;2.105;2.878;3.030;3.181;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;1;62;65;68;67;70;74;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;2;124;130;137;133;140;147;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;3;181;190;200;190;200;210;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;4;238;250;263;247;260;273;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;5;304;320;336;323;340;357;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;6;380;400;420;409;430;452;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;7;461;485;509;504;530;557;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;8;542;570;599;627;660;693;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;9;618;650;683;746;785;824;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;10;694;730;767;860;905;950;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;11;770;810;851;969;1.020;1.071;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;12;836;880;924;1.064;1.120;1.176;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;13;898;945;992;1.150;1.210;1.271;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;14;955;1.005;1.055;1.230;1.295;1.360;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;15;1.012;1.065;1.118;1.306;1.375;1.444;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;16;1.064;1.120;1.176;1.378;1.450;1.523;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;17;1.112;1.170;1.229;1.444;1.520;1.596;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;18;1.159;1.220;1.281;1.506;1.585;1.664;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;19;1.207;1.270;1.334;1.563;1.645;1.727;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;20;1.254;1.320;1.386;1.634;1.720;1.806;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;21;1.302;1.370;1.439;1.701;1.790;1.880;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;22;1.349;1.420;1.491;1.762;1.855;1.948;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;23;1.387;1.460;1.533;1.819;1.915;2.011;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;24;1.425;1.500;1.575;1.872;1.970;2.069;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;25;1.458;1.535;1.612;1.919;2.020;2.121;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;26;1.487;1.565;1.643;1.962;2.065;2.168;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;27;1.511;1.590;1.670;2.000;2.105;2.210;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;28;1.530;1.610;1.691;2.033;2.140;2.247;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;29;1.549;1.630;1.712;2.062;2.170;2.279;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;30;1.558;1.640;1.722;2.085;2.195;2.305;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;31;1.566;1.648;1.730;2.104;2.215;2.326;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;32;1.571;1.654;1.737;2.114;2.225;2.336;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;33;1.575;1.658;1.741;2.119;2.230;2.342;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;34;1.577;1.660;1.743;2.122;2.234;2.346;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;35;1.579;1.662;1.745;2.125;2.237;2.349;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;36;1.581;1.664;1.747;2.128;2.240;2.352;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;37;1.583;1.666;1.749;2.131;2.243;2.355;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;38;1.585;1.668;1.751;2.134;2.246;2.358;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;39;1.587;1.670;1.754;2.137;2.249;2.361;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;40;1.588;1.672;1.756;2.139;2.252;2.365;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;41;1.590;1.674;1.758;2.142;2.255;2.368;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;42;1.592;1.676;1.760;2.145;2.258;2.371;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;43;1.594;1.678;1.762;2.148;2.261;2.374;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;44;1.596;1.680;1.764;2.151;2.264;2.377;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;45;1.598;1.682;1.766;2.154;2.267;2.380;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;46;1.600;1.684;1.768;2.157;2.270;2.384;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;47;1.602;1.686;1.770;2.159;2.273;2.387;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;48;1.604;1.688;1.772;2.162;2.276;2.390;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;49;1.606;1.690;1.775;2.165;2.279;2.393;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;50;1.607;1.692;1.777;2.168;2.282;2.396;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;51;1.609;1.694;1.779;2.171;2.285;2.399;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;52;1.611;1.696;1.781;2.174;2.288;2.402;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;53;1.613;1.698;1.783;2.176;2.290;2.405;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;54;1.615;1.700;1.785;2.177;2.292;2.407;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;55;1.617;1.702;1.787;2.179;2.294;2.409;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;56;1.619;1.704;1.789;2.181;2.296;2.411;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;57;1.621;1.706;1.791;2.183;2.298;2.413;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;58;1.623;1.708;1.793;2.185;2.300;2.415;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;59;1.625;1.710;1.796;2.187;2.302;2.417;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;60;1.626;1.712;1.798;2.189;2.304;2.419;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;61;1.627;1.713;1.799;2.191;2.306;2.421;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;62;1.628;1.714;1.800;2.193;2.308;2.423;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;63;1.629;1.715;1.801;2.195;2.310;2.426;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;64;1.630;1.716;1.802;2.196;2.312;2.428;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;65;1.631;1.717;1.803;2.198;2.314;2.430;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;66;1.632;1.718;1.804;2.200;2.316;2.432;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;67;1.633;1.719;1.805;2.202;2.318;2.434;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;68;1.634;1.720;1.806;2.204;2.320;2.436;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;69;1.635;1.721;1.807;2.206;2.322;2.438;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;70;1.636;1.722;1.808;2.208;2.324;2.440;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;71;1.637;1.723;1.809;2.210;2.326;2.442;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;72;1.638;1.724;1.810;2.212;2.328;2.444;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;73;1.639;1.725;1.811;2.214;2.330;2.447;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;74;1.640;1.726;1.812;2.215;2.332;2.449;;;;;;;;;;;;;;;;;;;;
LSL Classic;White;75;1.641;1.727;1.813;2.217;2.334;2.451;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;1;63;66;69;67;70;74;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;2;126;132;139;134;141;148;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;3;184;193;203;191;201;211;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;4;241;254;267;249;262;275;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;5;309;325;342;325;342;359;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;6;386;407;427;411;433;454;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;7;468;493;518;507;533;560;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;8;551;580;609;631;664;698;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;9;628;661;694;751;790;830;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;10;705;742;779;865;911;956;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;11;782;824;865;975;1.027;1.078;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;12;850;895;940;1.071;1.127;1.184;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;13;913;961;1.009;1.157;1.218;1.279;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;14;971;1.022;1.073;1.238;1.303;1.369;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;15;1.029;1.083;1.137;1.315;1.384;1.453;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;16;1.082;1.139;1.196;1.386;1.459;1.532;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;17;1.130;1.190;1.249;1.453;1.530;1.606;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;18;1.178;1.240;1.303;1.516;1.595;1.675;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;19;1.227;1.291;1.356;1.582;1.666;1.749;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;20;1.275;1.342;1.409;1.645;1.732;1.818;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;21;1.320;1.389;1.459;1.712;1.802;1.892;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;22;1.359;1.431;1.502;1.774;1.868;1.961;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;23;1.397;1.471;1.544;1.832;1.928;2.024;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;24;1.436;1.511;1.587;1.884;1.983;2.083;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;25;1.469;1.547;1.624;1.932;2.034;2.135;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;26;1.498;1.577;1.656;1.975;2.079;2.183;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;27;1.522;1.602;1.682;2.013;2.119;2.225;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;28;1.541;1.622;1.703;2.047;2.155;2.262;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;29;1.560;1.642;1.724;2.076;2.185;2.294;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;30;1.570;1.652;1.735;2.099;2.210;2.320;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;31;1.577;1.660;1.743;2.119;2.230;2.342;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;32;1.583;1.666;1.750;2.128;2.240;2.352;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;33;1.587;1.670;1.754;2.133;2.245;2.357;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;34;1.589;1.672;1.756;2.137;2.249;2.362;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;35;1.591;1.674;1.758;2.140;2.252;2.365;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;36;1.593;1.676;1.760;2.142;2.255;2.368;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;37;1.595;1.678;1.762;2.145;2.258;2.371;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;38;1.596;1.681;1.765;2.148;2.261;2.374;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;39;1.598;1.683;1.767;2.151;2.264;2.378;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;40;1.600;1.685;1.769;2.154;2.267;2.381;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;41;1.602;1.687;1.771;2.157;2.270;2.384;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;42;1.604;1.689;1.773;2.160;2.273;2.387;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;43;1.606;1.691;1.775;2.163;2.276;2.390;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;44;1.608;1.693;1.777;2.165;2.279;2.393;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;45;1.610;1.695;1.779;2.168;2.282;2.397;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;46;1.612;1.697;1.781;2.171;2.285;2.400;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;47;1.614;1.699;1.784;2.174;2.288;2.403;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;48;1.616;1.701;1.786;2.177;2.291;2.406;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;49;1.618;1.703;1.788;2.180;2.294;2.409;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;50;1.619;1.705;1.790;2.183;2.298;2.412;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;51;1.621;1.707;1.792;2.186;2.301;2.416;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;52;1.623;1.709;1.794;2.188;2.304;2.419;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;53;1.625;1.711;1.796;2.190;2.306;2.421;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;54;1.627;1.713;1.798;2.192;2.308;2.423;;;;;;;;;;;;;;;;;;;;
