Breed;Color;"Age in 
LSL Extra;White;55;1.629;1.715;1.801;2.194;2.310;2.425;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;56;1.631;1.717;1.803;2.196;2.312;2.427;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;57;1.633;1.719;1.805;2.198;2.314;2.429;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;58;1.635;1.721;1.807;2.200;2.316;2.431;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;59;1.637;1.723;1.809;2.202;2.318;2.434;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;60;1.639;1.725;1.811;2.204;2.320;2.436;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;61;1.640;1.726;1.812;2.206;2.322;2.438;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;62;1.641;1.727;1.813;2.208;2.324;2.440;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;63;1.641;1.728;1.814;2.209;2.326;2.442;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;64;1.642;1.729;1.815;2.211;2.328;2.444;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;65;1.643;1.730;1.816;2.213;2.330;2.446;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;66;1.644;1.731;1.817;2.215;2.332;2.448;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;67;1.645;1.732;1.818;2.217;2.334;2.450;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;68;1.646;1.733;1.820;2.219;2.336;2.453;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;69;1.647;1.734;1.821;2.221;2.338;2.455;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;70;1.648;1.735;1.822;2.223;2.340;2.457;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;71;1.649;1.736;1.823;2.225;2.342;2.459;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;72;1.650;1.737;1.824;2.227;2.344;2.461;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;73;1.651;1.738;1.825;2.229;2.346;2.463;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;74;1.652;1.739;1.826;2.230;2.348;2.465;;;;;;;;;;;;;;;;;;;;
LSL Extra;White;75;1.653;1.740;1.827;2.232;2.350;2.467;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;1;61;64;68;66;69;73;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;2;122;129;135;131;138;145;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;3;179;188;198;187;197;207;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;4;235;248;260;244;257;269;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;5;301;317;333;319;336;352;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;6;377;397;416;403;424;446;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;7;457;481;505;497;523;549;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;8;537;565;593;619;651;684;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;9;612;644;677;736;775;813;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;10;688;724;760;848;893;938;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;11;763;803;843;956;1.007;1.057;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;12;829;873;916;1.050;1.105;1.160;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;13;890;937;984;1.134;1.194;1.254;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;14;947;996;1.046;1.214;1.278;1.342;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;15;1.003;1.056;1.109;1.289;1.357;1.425;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;16;1.055;1.110;1.166;1.359;1.431;1.502;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;17;1.102;1.160;1.218;1.425;1.500;1.575;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;18;1.149;1.210;1.270;1.486;1.564;1.642;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;19;1.196;1.259;1.322;1.545;1.626;1.708;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;20;1.237;1.302;1.368;1.610;1.695;1.780;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;21;1.281;1.349;1.416;1.676;1.764;1.852;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;22;1.328;1.398;1.468;1.737;1.828;1.919;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;23;1.365;1.437;1.509;1.793;1.887;1.981;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;24;1.403;1.477;1.550;1.844;1.941;2.038;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;25;1.436;1.511;1.587;1.891;1.991;2.090;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;26;1.464;1.541;1.618;1.933;2.035;2.137;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;27;1.487;1.565;1.643;1.971;2.074;2.178;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;28;1.506;1.585;1.664;2.003;2.109;2.214;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;29;1.524;1.605;1.685;2.031;2.138;2.245;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;30;1.534;1.614;1.695;2.055;2.163;2.271;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;31;1.541;1.622;1.703;2.074;2.183;2.292;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;32;1.547;1.628;1.710;2.083;2.193;2.302;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;33;1.551;1.632;1.714;2.088;2.197;2.307;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;34;1.552;1.634;1.716;2.091;2.201;2.311;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;35;1.554;1.636;1.718;2.094;2.204;2.315;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;36;1.556;1.638;1.720;2.097;2.207;2.318;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;37;1.558;1.640;1.722;2.100;2.210;2.321;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;38;1.560;1.642;1.724;2.103;2.213;2.324;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;39;1.562;1.644;1.726;2.105;2.216;2.327;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;40;1.564;1.646;1.728;2.108;2.219;2.330;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;41;1.565;1.648;1.730;2.111;2.222;2.333;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;42;1.567;1.650;1.732;2.114;2.225;2.336;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;43;1.569;1.652;1.734;2.117;2.228;2.339;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;44;1.571;1.654;1.736;2.119;2.231;2.342;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;45;1.573;1.656;1.739;2.122;2.234;2.346;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;46;1.575;1.658;1.741;2.125;2.237;2.349;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;47;1.577;1.660;1.743;2.128;2.240;2.352;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;48;1.579;1.662;1.745;2.131;2.243;2.355;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;49;1.580;1.664;1.747;2.133;2.246;2.358;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;50;1.582;1.666;1.749;2.136;2.249;2.361;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;51;1.584;1.668;1.751;2.139;2.252;2.364;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;52;1.586;1.670;1.753;2.142;2.255;2.367;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;53;1.588;1.672;1.755;2.144;2.257;2.369;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;54;1.590;1.673;1.757;2.146;2.259;2.371;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;55;1.592;1.675;1.759;2.147;2.261;2.374;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;56;1.594;1.677;1.761;2.149;2.262;2.376;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;57;1.595;1.679;1.763;2.151;2.264;2.378;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;58;1.597;1.681;1.765;2.153;2.266;2.380;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;59;1.599;1.683;1.767;2.155;2.268;2.382;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;60;1.601;1.685;1.770;2.157;2.270;2.384;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;61;1.602;1.686;1.771;2.159;2.272;2.386;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;62;1.603;1.687;1.772;2.161;2.274;2.388;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;63;1.604;1.688;1.773;2.162;2.276;2.390;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;64;1.605;1.689;1.774;2.164;2.278;2.392;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;65;1.606;1.690;1.775;2.166;2.280;2.394;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;66;1.607;1.691;1.776;2.168;2.282;2.396;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;67;1.608;1.692;1.777;2.170;2.284;2.398;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;68;1.609;1.693;1.778;2.172;2.286;2.400;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;69;1.609;1.694;1.779;2.174;2.288;2.403;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;70;1.610;1.695;1.780;2.176;2.290;2.405;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;71;1.611;1.696;1.781;2.177;2.292;2.407;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;72;1.612;1.697;1.782;2.179;2.294;2.409;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;73;1.613;1.698;1.783;2.181;2.296;2.411;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;74;1.614;1.699;1.784;2.183;2.298;2.413;;;;;;;;;;;;;;;;;;;;
LSL Lite;White;75;1.615;1.700;1.785;2.185;2.300;2.415;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;1;61;64;67;65;69;72;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;2;121;128;134;130;137;144;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;3;177;187;196;186;196;206;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;4;233;246;258;242;255;268;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;5;299;315;330;317;333;350;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;6;374;393;413;400;421;442;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;7;453;477;501;493;519;545;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;8;532;560;588;614;647;679;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;9;607;639;671;731;769;808;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;10;682;718;753;843;887;931;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;11;756;796;836;950;1.000;1.050;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;12;822;865;908;1.043;1.098;1.152;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;13;882;929;975;1.127;1.186;1.245;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;14;939;988;1.037;1.206;1.269;1.333;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;15;995;1.047;1.099;1.280;1.348;1.415;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;16;1.046;1.101;1.156;1.350;1.421;1.492;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;17;1.093;1.150;1.208;1.415;1.490;1.564;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;18;1.139;1.199;1.259;1.476;1.553;1.631;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;19;1.183;1.245;1.308;1.534;1.615;1.696;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;20;1.226;1.290;1.355;1.596;1.680;1.764;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;21;1.266;1.333;1.400;1.661;1.749;1.836;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;22;1.309;1.378;1.447;1.722;1.812;1.903;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;23;1.350;1.421;1.492;1.777;1.871;1.965;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;24;1.387;1.460;1.532;1.828;1.925;2.021;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;25;1.419;1.494;1.568;1.875;1.974;2.072;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;26;1.447;1.523;1.599;1.917;2.018;2.118;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;27;1.470;1.547;1.624;1.954;2.057;2.159;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;28;1.488;1.567;1.645;1.986;2.091;2.195;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;29;1.507;1.586;1.665;2.014;2.120;2.226;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;30;1.516;1.596;1.676;2.037;2.145;2.252;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;31;1.523;1.604;1.684;2.056;2.164;2.272;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;32;1.529;1.609;1.690;2.065;2.174;2.283;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;33;1.533;1.613;1.694;2.070;2.179;2.288;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;34;1.534;1.615;1.696;2.073;2.183;2.292;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;35;1.536;1.617;1.698;2.076;2.186;2.295;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;36;1.538;1.619;1.700;2.079;2.188;2.298;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;37;1.540;1.621;1.702;2.082;2.191;2.301;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;38;1.542;1.623;1.704;2.085;2.194;2.304;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;39;1.544;1.625;1.706;2.087;2.197;2.307;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;40;1.546;1.627;1.708;2.090;2.200;2.310;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;41;1.547;1.629;1.710;2.093;2.203;2.313;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;42;1.549;1.631;1.712;2.096;2.206;2.316;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;43;1.551;1.633;1.714;2.099;2.209;2.319;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;44;1.553;1.635;1.716;2.101;2.212;2.323;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;45;1.555;1.637;1.718;2.104;2.215;2.326;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;46;1.557;1.639;1.720;2.107;2.218;2.329;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;47;1.558;1.640;1.723;2.110;2.221;2.332;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;48;1.560;1.642;1.725;2.112;2.224;2.335;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;49;1.562;1.644;1.727;2.115;2.227;2.338;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;50;1.564;1.646;1.729;2.118;2.230;2.341;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;51;1.566;1.648;1.731;2.121;2.232;2.344;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;52;1.568;1.650;1.733;2.124;2.235;2.347;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;53;1.570;1.652;1.735;2.125;2.237;2.349;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;54;1.571;1.654;1.737;2.127;2.239;2.351;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;55;1.573;1.656;1.739;2.129;2.241;2.353;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;56;1.575;1.658;1.741;2.131;2.243;2.355;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;57;1.577;1.660;1.743;2.133;2.245;2.357;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;58;1.579;1.662;1.745;2.135;2.247;2.359;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;59;1.581;1.664;1.747;2.137;2.249;2.362;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;60;1.582;1.666;1.749;2.138;2.251;2.364;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;61;1.583;1.667;1.750;2.140;2.253;2.366;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;62;1.584;1.668;1.751;2.142;2.255;2.368;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;63;1.585;1.669;1.752;2.144;2.257;2.370;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;64;1.586;1.670;1.753;2.146;2.259;2.372;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;65;1.587;1.671;1.754;2.148;2.261;2.374;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;66;1.588;1.672;1.755;2.150;2.263;2.376;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;67;1.589;1.673;1.756;2.151;2.265;2.378;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;68;1.590;1.674;1.757;2.153;2.267;2.380;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;69;1.591;1.675;1.758;2.155;2.269;2.382;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;70;1.592;1.676;1.759;2.157;2.271;2.384;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;71;1.593;1.676;1.760;2.159;2.273;2.386;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;72;1.594;1.677;1.761;2.161;2.274;2.388;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;73;1.595;1.678;1.762;2.163;2.276;2.390;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;74;1.595;1.679;1.763;2.164;2.278;2.392;;;;;;;;;;;;;;;;;;;;
LSL Ultra Lite;White;75;1.596;1.680;1.764;2.166;2.280;2.394;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;1;61;64;68;61;64;68;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;2;122;129;135;136;143;151;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;3;179;188;198;230;242;254;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;4;235;248;260;324;341;358;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;5;301;317;333;418;440;462;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;6;377;397;416;522;549;577;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;7;457;481;505;634;668;701;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;8;537;565;593;747;786;826;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;9;612;644;677;860;905;950;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;10;688;724;760;973;1.024;1.075;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;11;763;803;843;1.086;1.143;1.200;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;12;829;873;916;1.198;1.261;1.324;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;13;890;937;984;1.311;1.380;1.449;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;14;947;996;1.046;1.424;1.499;1.574;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;15;1.003;1.056;1.109;1.537;1.618;1.698;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;16;1.055;1.110;1.166;1.649;1.736;1.823;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;17;1.102;1.160;1.218;1.757;1.850;1.942;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;18;1.149;1.210;1.270;1.866;1.964;2.062;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;19;1.196;1.259;1.322;1.974;2.078;2.181;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;20;1.237;1.302;1.368;2.085;2.195;2.305;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;21;1.281;1.349;1.416;2.161;2.275;2.388;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;22;1.328;1.398;1.468;2.227;2.344;2.461;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;23;1.365;1.437;1.509;2.284;2.404;2.524;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;24;1.403;1.477;1.550;2.335;2.458;2.581;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;25;1.436;1.511;1.587;2.383;2.508;2.633;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;26;1.464;1.541;1.618;2.425;2.553;2.680;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;27;1.487;1.565;1.643;2.463;2.593;2.722;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;28;1.506;1.585;1.664;2.496;2.627;2.759;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;29;1.524;1.605;1.685;2.524;2.657;2.790;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;30;1.534;1.614;1.695;2.543;2.677;2.811;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;31;1.541;1.622;1.703;2.557;2.691;2.826;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;32;1.547;1.628;1.710;2.570;2.706;2.841;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;33;1.551;1.632;1.714;2.584;2.720;2.856;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;34;1.552;1.634;1.716;2.598;2.735;2.871;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;35;1.554;1.636;1.718;2.612;2.749;2.886;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;36;1.556;1.638;1.720;2.625;2.763;2.902;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;37;1.558;1.640;1.722;2.639;2.778;2.917;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;38;1.560;1.642;1.724;2.653;2.792;2.932;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;39;1.562;1.644;1.726;2.666;2.807;2.947;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;40;1.564;1.646;1.728;2.680;2.821;2.962;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;41;1.565;1.648;1.730;2.687;2.828;2.970;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;42;1.567;1.650;1.732;2.694;2.836;2.978;;;;;;;;;;;;;;;;;;;;
Lohmann Sandy;Tint;43;1.569;1.652;1.734;2.701;2.843;2.985;;;;;;;;;;;;;;;;;;;;
